State Name,NBA Team(s)
Arizona,Phoenix Suns
California,Golden State Warriors
California,Los Angeles Clippers
California,Los Angeles Lakers
California,Sacramento Kings
Colorado,Denver Nuggets
Florida,Miami Heat
Florida,Orlando Magic
Georgia,Atlanta Hawks
Illinois,Chicago Bulls
Indiana,Indiana Pacers
Louisiana,New Orleans Pelicans
Massachusetts,Boston Celtics
Michigan,Detroit Pistons
Minnesota,Minnesota Timberwolves
New York,Brooklyn Nets
New York,New York Knicks
North Carolina,Charlotte Hornets
Ohio,Cleveland Cavaliers
Oklahoma,Oklahoma City Thunder
Oregon,Portland Trail Blazers
Pennsylvania,Philadelphia 76ers
Tennessee,Memphis Grizzlies
Texas,Dallas Mavericks
Texas,Houston Rockets
Texas,San Antonio Spurs
Utah,Utah Jazz
Wisconsin,Milwaukee Bucks
Washington DC*,Washington Wizards
